NCGC00260230-01,F[P-](F)(F)(F)(F)F.CCCC[N+]1=CC=CC(C)=C1
NCGC00016964-02,Cl.CCN1C=C(C(O)=O)C(=O)C2=C1C(F)=C(N3CCNC(C)C3)C(F)=C2
NCGC00259490-01,CC1=CC(O)=CC=C1
NCGC00258094-01,CCCCCCCOC(=O)C1=CC=C(O)C=C1
NCGC00259814-01,CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C
NCGC00258373-01,CCCOCC(C)OCC(C)O
NCGC00254511-01,[Na+].CCCCCCCCCCCCCCCCOS([O-])(=O)=O
NCGC00260330-01,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
NCGC00018193-06,COCCCC\C(C1=CC=C(C=C1)C(F)(F)F)=N/OCCN
NCGC00163886-02,COP(=S)(OC)OC1=C(Cl)C=C(Cl)C(Cl)=C1
NCGC00258083-01,CC(CCC(O)=O)C(O)=O
NCGC00260405-01,COCC(O)CO
NCGC00256466-01,CCC[N+]([O-])=O
NCGC00164498-01,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCC2
NCGC00256569-01,[H][C@@]12CC[C@@H](O)[C@@]1(C)CC[C@]3([H])C4=C(CC[C@@]23[H])C=C(O)C=C4
NCGC00258840-01,BrC1=CC=C(Br)C=C1
NCGC00255543-01,CCCCCCCCCCCCCCCC(=O)OC[C@H](O)[C@H]1OC(=O)C(O)=C1O
NCGC00254934-01,CCNC1=NC(NC(C)(C)C#N)=NC(Cl)=N1
NCGC00256816-01,[Na+].N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C([O-])=O
NCGC00255602-01,OC(=O)C1=CC=C(C=C1)C#N
NCGC00256226-01,C=CCOC(=O)\C=C/C(=O)OCC=C
NCGC00254851-01,O[C@@H]1O[C@@H]2[C@@H](O)C(=O)O[C@@H]2[C@H]1O
NCGC00257950-01,Cl.CN1CCC2=CC3=C(OCO3)C=C2C1O
NCGC00166143-01,NC(=O)C1C2=CC=CC=C2CCC3=CC=CC=C13
NCGC00254460-01,OCCN(CCO)CCO
NCGC00254838-01,OCCC1=NC=CC=C1
NCGC00095256-01,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](OC(=O)OCC)C3=CC=NC4=CC=C(OC)C=C34
NCGC00259575-01,Cl.CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2
NCGC00016320-01,CCC1(C)CC(=O)NC1=O
NCGC00258451-01,NNC1=NC(=CS1)C2=CC=CC=C2
NCGC00255184-01,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C
NCGC00260155-01,BrCC1CO1
NCGC00160662-01,COC([C@H](OC1=NC(C)=CC(C)=N1)C(O)=O)(C2=CC=CC=C2)C3=CC=CC=C3
NCGC00255407-01,CCCCCCCC1=CC=C(O)C=C1
NCGC00256438-01,ClC1=CC(Cl)=C(OC2=CC=C(OC3=NC=C(Cl)C=C3Cl)C=C2)N=C1
NCGC00255097-01,CC(C)CC(C)=NO
NCGC00257835-01,CC(C)(O)CCC(C)(C)O
NCGC00257807-01,CC(C)(C)OCC1CO1
NCGC00255471-01,CCS(=O)(=O)CCSP(=O)(OC)OC
NCGC00260431-01,COC1=CC=CC=C1\C=C\C=O
NCGC00163774-04,CCCSP(=O)(OCC)SCCC
NCGC00256364-01,OC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=C1
NCGC00095599-01,OC[C@H]1O[C@@H](OC2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O
NCGC00259605-01,CC1=CC(C)=CC=C1
NCGC00255213-01,CCC(C(=O)NC(N)=O)C1=CC=CC=C1
NCGC00257913-01,CC(C)(C)OC=O
NCGC00255087-01,CC(C)OC1=C(O)C=CC=C1
NCGC00183875-01,Cl.[H][C@@]1(CCC2=C(O1)C=CC(F)=C2)[C@@H](O)CNC[C@H](O)[C@]3([H])CCC4=C(O3)C=CC(F)=C4
NCGC00258478-01,O=C1CC(=O)NC(=O)N1
NCGC00258187-01,CCC(C)Br
NCGC00016568-01,CC(=O)NC1CCSC1=O
NCGC00254505-01,CC1=CC(=O)NC(=S)N1
NCGC00259877-01,COC1=C(OC)C=C(C=C1)[C@@H]2CC(=O)C3=C(O2)C=C(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)C=C3O
NCGC00255191-01,CC(=C)C(=O)OCC1=CC=CC=C1
NCGC00022715-03,CCCC1=CC(=O)NC(=S)N1
NCGC00182081-02,CN(C)CCOC1=CC2=C(SC3=CC=C(Cl)C=C13)C=CC=C2
NCGC00259219-01,CCCC(C)=O
NCGC00247331-02,CCC[C@@H](C)C1(CC=C)C(=O)NC(=O)NC1=O
NCGC00258743-01,S=C=NCC1=CC=CC=C1
NCGC00258630-01,CC1=CC(C)(C)NC2=C1C=CC=C2
NCGC00259152-01,CCOP(OCC)OCC
NCGC00168264-01,Cl.CC(N)CC1=CC2=C(OCO2)C=C1
NCGC00181322-01,CCCCCC[C@@H](O)C\C=C/CCCCCCCC(O)=O
NCGC00256195-01,O=C1CCCN1C2CCCCC2
NCGC00254044-01,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
NCGC00260453-01,C1=CC=C2C=NN=CC2=C1
NCGC00256263-01,CC(=C)C(=O)OCCCCOC(=O)C(C)=C
NCGC00254619-01,CCC1=CC=CC(CC)=C1N(COC)C(=O)CCl
NCGC00256802-01,CC(C)C(=O)OC1=C(C)OC=CC1=O
NCGC00015508-08,NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1Cl
NCGC00016528-01,Cl.CC(C)NC(=N)NC(=N)NC1=CC=C(Cl)C=C1
NCGC00160378-01,[Cl-].CC(C)[N+](C)(C)CC(O)COC1=C2C=CC=CC2=CC=C1
NCGC00258765-01,CCCCCCC
NCGC00256040-01,CCCC(=O)OC
NCGC00257625-01,[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CC[C@@]4([H])CC(=O)\C(C[C@]34C)=C/O
NCGC00255468-01,OC(=O)C1=C(N=CC=C1)C(O)=O
NCGC00257608-01,[Na+].[N-]1C=NC=N1
NCGC00016338-01,CCCCOC1=CC(C(=O)NCCN(CC)CC)=C2C=CC=CC2=N1
NCGC00181137-01,NC(=S)NS(=O)(=O)C1=CC=C(N)C=C1
NCGC00185742-01,[H][C@]12SCC(COC(N)=O)=C(N1C(=O)[C@]2(NC(=O)CC3=CC=CS3)OC)C(O)=O
NCGC00260426-01,O=C(OC1=CC=CC=C1)C2=CC=CC=C2
NCGC00260242-01,[O-]S(=O)(=O)C(F)(F)F.CCCC[N+]1=CC=CC=C1
NCGC00014496-01,CC1=CC=C(C=C1)S(O)(=O)=O.C2CN=C(NC3=C4CCCCC4=CC=C3)N2
NCGC00257106-01,CC1=CC=C(C=C1S(O)(=O)=O)[N+]([O-])=O
NCGC00257437-01,CCC(O)OCC(C)OC(O)CC
NCGC00016797-02,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@@]2([H])NC(=O)[C@H](N)C3=CC=C(O)C=C3)C(O)=O
NCGC00256827-01,CCCCCOC(=O)CCCCC
NCGC00257864-01,CC(C)(C)C1=CC=C(OCC2CO2)C=C1
NCGC00254834-01,CN(C)CCCN(C)C
NCGC00259873-01,CC(C)(C)CC(C)(C)C1=C(O)C=CC=C1
NCGC00159468-02,[Na+].CCC([O-])=O
NCGC00013051-05,CC(C)(C)C1=CC(O)=CC=C1O
NCGC00256467-01,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2
NCGC00254723-01,Cl[Dy](Cl)Cl
NCGC00168247-01,OS(O)(=O)=O.[2H]C([2H])([2H])[C@H](N)CC1=CC=CC=C1.[2H]C([2H])([2H])[C@H](N)CC2=CC=CC=C2
NCGC00255076-01,O=C1NC(=O)C2CC=CCC12
NCGC00260283-01,[Na+].CCC([O-])=O
NCGC00260336-01,Cl.CC1=CC(=CC=C1N)C(C2=CC=C(N)C=C2)=C3C=CC(=N)C=C3
NCGC00183868-01,OC(=O)CC1=C(N=C(S1)C2=CC=CC=C2)C3=CC=C(Cl)C=C3
NCGC00016583-01,Cl.CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)C2=CC=CC=C2
NCGC00255861-01,[Cl-].C[N+](C)=CCl
NCGC00257047-01,CC(=O)OC(C)(CCC=C(C)C)C=C
NCGC00257862-01,OC1=CC=CC(NC2=CC=CC=C2)=C1
NCGC00254166-01,CC(C)(OOC(C)(C)C1=CC=CC=C1)C2=CC=CC=C2
NCGC00258570-01,OC1=CC=C(C=C1)C2(CCCCC2)C3=CC=C(O)C=C3
NCGC00256706-01,CC(=O)C1=C(C)N=C(C)S1
NCGC00256909-01,CC(C)CCOCC1=CC=CC=C1
NCGC00260468-01,COC1=CC(=CC(OC)=C1OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@@H](O)C4=CC5=C(OCO5)C=C24
NCGC00254359-01,COC1=CC2=C(C(OC)=C1OC)C3=CC=C(OC)C(=O)C=C3[C@H](CC2)NC(C)=O
NCGC00090987-02,OC(=O)CC1=C2C=CC=CC2=CC=C1
NCGC00257048-01,CC(C)(N)CO
NCGC00258463-01,OC1=CC=CC(Cl)=C1Cl
NCGC00257173-01,N1C=NC2=C1C=CC=C2
NCGC00255705-01,OC[C@H]1O[C@@H](OC2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O
NCGC00016496-01,Cl.CCNCC(O)C1=CC=CC(O)=C1
NCGC00015340-02,Cl.CNCCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2
NCGC00258208-01,COC(C)(C)CCCC(C)C\C=C\C(C)=C\C(=O)OC(C)C
NCGC00258989-01,CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1
NCGC00259275-01,ClCCBr
NCGC00255280-01,CNNCC1=CC=C(C=C1)C(=O)NC(C)C
NCGC00093935-01,OC(=O)\C=C/C(O)=O.CCOC(=O)NC1=C(N)N=C(NCC2=CC=C(F)C=C2)C=C1
NCGC00260262-01,[Ba++].[O-][N+]([O-])=O.[O-][N+]([O-])=O
NCGC00091952-01,[O-]C(=O)\C=C/C([O-])=O.C[NH+](C)CCC(C1=CC=CC=C1)C2=CC=CC=[NH+]2
NCGC00256197-01,BrC1=CC(Br)=C(OCC=C)C(Br)=C1
NCGC00254207-01,CC(=O)OCC(COC(C)=O)OC(C)=O
NCGC00095714-01,[H][C@@]12CC(=O)[C@]3(C)[C@]([H])(CC[C@@]4(C)[C@@H](OC(=O)[C@H]5O[C@@]345)C6=COC=C6)[C@]17COC(=O)C[C@@H]7OC2(C)C
NCGC00254679-01,OC(=O)C1=C(Cl)C(=CC(Cl)=C1)[N+]([O-])=O
NCGC00257866-01,BrC1=C(Br)C(Br)=C(Br)C(OC2=CC(Br)=C(Br)C(Br)=C2Br)=C1
NCGC00016344-03,NC1=CC=C(O)C(=C1)C(O)=O
NCGC00254435-01,C1CCC(CC1)SSC2CCCCC2
NCGC00016328-01,CN1N(C(=O)C(N)=C1C)C2=CC=CC=C2
NCGC00256241-01,CC1CC=C(C)C(\C=C\C(C)=O)C1(C)C
NCGC00256394-01,IC(I)I
NCGC00254597-01,O=C(CC1=CC=CC=C1)OCCC2=CC=CC=C2
NCGC00160484-01,CCN(CC)CCOC1=C(C=CC=C1)C(=O)CCC2=CC=CC=C2
NCGC00256024-01,CCC(=O)OC(C)C1=CC=CC=C1
NCGC00091761-03,CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C
NCGC00259359-01,CC1=CC=C2OC(=O)C=CC2=C1
NCGC00254340-01,CC1=C(O)C(CO)=C(CO)C=N1
NCGC00256461-01,NC1=C(C=CC(=C1)[N+]([O-])=O)C(O)=O
NCGC00255528-01,COC1=CC(N)=C(OC)C=C1Cl
NCGC00160584-01,OCC(O)COC1=CC=C(Cl)C=C1
NCGC00256799-01,COC1=C(OC(=O)C(C)C)C=CC(C=O)=C1
NCGC00160540-01,CCC1NC2=C(C=C(C(Cl)=C2)S(N)(=O)=O)S(=O)(=O)N1
NCGC00259562-01,CN(C)CCOCCN(C)C
NCGC00255118-01,P#[In]
NCGC00255287-01,CC1(C)N(Br)C(=O)N(Cl)C1=O
NCGC00183127-01,[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CC[C@@]4([H])CC(=O)CC[C@]34C
NCGC00253942-01,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C
NCGC00091657-02,CCOCCOC(C)=O
NCGC00256645-01,CSC1=NC=CN=C1
NCGC00258773-01,COC1=CC=C(C)C=C1[N+]([O-])=O
NCGC00164595-01,OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O
NCGC00255369-01,CSC1=NC(NC(C)(C)C)=NC(NC2CC2)=N1
NCGC00257687-01,O=CNNC=O
NCGC00021139-03,O=C1NC(=O)C(N1)(C2=CC=CC=C2)C3=CC=CC=C3
NCGC00259794-01,OCCCCO
NCGC00016831-01,Cl.COC1=CC(OC)=C(C(=O)CCCN2CCCC2)C(OC)=C1
NCGC00256605-01,CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C
NCGC00255224-01,CC1(C)C(=O)NC(=O)NC1=O
NCGC00182995-01,CCN1C(NC2=CC=C(OCCN3CCCCC3)C=C2)C4=C(C=CC=C4)C1=O
NCGC00249417-01,ClC1=CC=C(S1)S(=O)(=O)NC2=C(C=C(Cl)C=C2)C(=O)NC3=CC=C(C=C3)S(=O)(=O)N4CCOCC4
NCGC00254991-01,CC1=NN(C(=O)N1C(F)F)C2=CC(NS(C)(=O)=O)=C(Cl)C=C2Cl
NCGC00162274-02,[H][C@@]12CC3=C4C(O[C@H]5C(=O)CC[C@]1(O)[C@@]45CCN2CC6CC6)=C(O)C=C3
NCGC00015999-10,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1
NCGC00259759-01,O=C1OC(=O)C2CC=CCC12
NCGC00259637-01,NCCCCCCN
NCGC00254068-01,COC1=CC=C(O)C(=C1)C(C)(C)C
NCGC00166321-01,[Na+].[Na+].[Na+].O[C@H]1[C@H](O)[C@@](O)(COP([O-])([O-])=O)O[C@@H]1COP(O)([O-])=O
NCGC00256691-01,C[C@H](CCO)CCCC(C)=C
NCGC00258827-01,CC1=CC(O)=C(C)C=C1
NCGC00256492-01,CCCCC(CC)COC(=O)C1=CC=C(O)C=C1
NCGC00257750-01,CN1C(=O)C2=C(C=C(C=C2)[N+]([O-])=O)C1=O
NCGC00257419-01,CC(=O)CC(C)(C)O
NCGC00255841-01,CCOP(=O)(OCC)N=C1SCCS1
NCGC00255870-01,CC1=C(N)C=C(C=C1)C(N)=O
NCGC00254531-01,C1=CC=C(C=C1)N=NC2=CC=CC=C2
NCGC00256042-01,ClC1=CC=C(C=C1)C#N
NCGC00256185-01,CCN1C2=C(C=CC=C2)C3=C1C=CC(=C3)[N+]([O-])=O
NCGC00257784-01,NC(=O)C1=CC=NC=C1
NCGC00164626-01,Cl.CC1=C(SC=C1)C(=CCCN2CCC[C@H](C2)C(O)=O)C3=C(C)C=CS3
NCGC00255668-01,CC(=O)O[C@@H]1CC2CCC1(C)C2(C)C
NCGC00167459-01,Cl.CCN1CC(CCN2CCOCC2)C(C1=O)(C3=CC=CC=C3)C4=CC=CC=C4
NCGC00259400-01,OC1=C2C(=O)C3=C(O)C=CC=C3CC2=CC=C1
NCGC00254839-01,O=C(OC1=CC=CC=C1)C2=CC=CC=C2C(=O)OC3=CC=CC=C3
NCGC00183098-01,[Na+].[H][C@]12SCC(CSC3=NN=CS3)=C(N1C(=O)[C@@]2([H])NC(=O)CN4C=NN=N4)C([O-])=O
NCGC00181912-01,CCOC(=O)C1=C2CN(C)C(=O)C3=C(C=CC=C3I)N2C=N1
NCGC00090760-08,COC1=CC=C(C=C1)C(C2=CC=C(OC)C=C2)C(Cl)(Cl)Cl
NCGC00255440-01,CC1=NC2=C(C=CC=C2)C=C1
NCGC00164497-01,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCCCC2
NCGC00256900-01,CCCCCCCCCC(C)C=O
NCGC00255284-01,CCOC(=O)COC(=O)C1=CC=CC=C1C(=O)OCC
NCGC00181771-01,OC(=O)\C=C\C(O)=O.CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1.CCCCCCCN(CC)CCCC(O)C2=CC=C(NS(C)(=O)=O)C=C2
NCGC00254617-01,O.CC1=CC=C(C=C1)S(O)(=O)=O
NCGC00256080-01,CC1=CC[C@H](CC=O)C1(C)C
NCGC00255222-01,FC1=CN(C2CCCO2)C(=O)NC1=O
NCGC00254995-01,CCCCCCC1CCC(=O)O1
NCGC00256551-01,CC(C)CON=O
NCGC00254615-01,CN(C)C1=CC=C(C=O)C=C1
NCGC00254641-01,COC(=O)C1=C(C=CC=C1)C(O)=O
NCGC00016938-01,[H][C@]12SCC(C=C)=C(N1C(=O)[C@H]2NC(=O)C(=NOCC(O)=O)C3=CSC(N)=N3)C(O)=O
NCGC00255062-01,CC(C)(NC(=O)C1=CC(Cl)=CC(Cl)=C1)C#C
NCGC00090954-03,OC(=O)CC(O)(CC(O)=O)C(O)=O
NCGC00159498-02,CC(C)NCC(O)COC1=CC(C)=C(OC(C)=O)C(C)=C1C
NCGC00259971-01,CC(=O)C1=CC=CC=C1
NCGC00254092-01,O=C1OC2=C(C=CC=C2)C=C1
NCGC00257882-01,[O-][N+](=O)C1=CC=C2C(=O)OC(=O)C2=C1
NCGC00259498-01,NC1=NC2=CC=CC=C2N1
NCGC00259392-01,CCCCOCCOC(=O)C1=CC=CC=C1C(=O)OCCOCCCC
NCGC00256128-01,CC1=NN(C(=O)C1)C2=CC=C(C=C2)C(O)=O
NCGC00167534-01,C[C@H]1COC2=C(C(F)=CC3=C2N1C=C(C(O)=O)C3=O)C4(N)CC4
NCGC00015096-12,Cl.CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C3=C(O1)C=CC=C3
NCGC00015423-03,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]3([H])C4=C(CC[C@@]23[H])C=C(O)C=C4
NCGC00182707-01,CCC1(CC2=C(C1)C=CC=C2)C3=CN=CN3
NCGC00165787-02,OC(=O)CC1=CC=C(CCNS(=O)(=O)C2=CC=C(Cl)C=C2)C=C1
NCGC00256190-01,Cl.NC(=O)CC[C@H](NC1=CC=C(C=C1)[N+]([O-])=O)C(O)=O
NCGC00142391-03,NC1=NC(=O)C2=C(N1)N=CC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=N2
NCGC00160614-01,NC(=O)[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
NCGC00182715-02,CC(OC(C)=O)C(=O)OCC[N+](C)(C)C.CC(OC(C)=O)C(=O)OCC[N+](C)(C)C.[O-]S(=O)(=O)C1=CC=CC2=C(C=CC=C12)S([O-])(=O)=O
NCGC00095193-01,[Na+].[Na+].[Na+].[Cu++].CCC1=C(C)C2=CC3=C(C=C)C(C)=C([N-]3)C=C4N=C(C(CCC([O-])=O)C4C)C(CC([O-])=O)=C5[N-]C(=CC1=N2)C(C)=C5C([O-])=O
NCGC00092310-03,CCN1CCCC1CNC(=O)C2=CC(=C(N)C=C2OC)S(=O)(=O)CC
NCGC00256140-01,CC(C)CCCCCOC(=O)CCS
NCGC00166139-01,CCOC1=CC=C(NC(=O)CC(C)O)C=C1
NCGC00256661-01,O=C1CCCCCCCCCCCCCC1
NCGC00254262-01,CC(C)OP(C)(=O)OC(C)C
NCGC00092362-01,CN1CCC2=C(C=C(O)C(Cl)=C2)[C@@H]3[C@@H]1CCC4=CC=CC=C34
NCGC00164479-01,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]3([H])[C@@]4([H])CCC(=O)C=C4CC[C@@]23[H]
NCGC00257377-01,CC1COC2=C(C=CC=C2)N1C(=O)C(Cl)Cl
NCGC00247686-01,CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C3=CC=C(F)C=C3
NCGC00254451-01,O.O.O.C[C@](N)(CC1=CC=C(O)C(O)=C1)C(O)=O.C[C@](N)(CC2=CC=C(O)C(O)=C2)C(O)=O
NCGC00255585-01,CC1=CC(=O)CCC1
NCGC00255134-01,CCOP(=S)(OCC)SCSC1=CC=C(Cl)C=C1
NCGC00255578-01,CCC1COC(=O)O1
NCGC00260481-01,O=C1NC2=C(O1)C=CC=C2
NCGC00257514-01,CC(C)=CC(C)=O
NCGC00257997-01,CC(C)C(O)C(C)(C)CO
NCGC00016576-01,CCC(C)C1NC2C=CC3=C(N=C(C=C3C(C)O)C(=O)OC(C)C4NC(=O)C5=CSC(=N5)C(NC(=O)C6CSC(=N6)\C(NC(=O)C(NC(=O)C7=CSC(=N7)C8(CCC(=NC8C9=CSC4=N9)C%10=NC(=CS%10)C(=O)NC(=C)C(=O)NC(=C)C(N)=O)NC(=O)C(C)NC(=O)C(=C)NC(=O)C(C)NC1=O)C(C)O)=C/C)C(C)(O)C(C)O)C2O
NCGC00160577-01,CCCCCCCCCCCCOCCCN
NCGC00256495-01,NC1=NC(N)=C2N=C(C3=CC=CC=C3)C(N)=NC2=N1
NCGC00164543-01,Cl.Cl.COC1=CC=C(CN2CCN(CC2)C(C3=CC=C(F)C=C3)C4=CC=C(F)C=C4)C(OC)=C1OC
NCGC00255461-01,OC(CN1C=NC=N1)(C2=CC=C(F)C=C2)C3=C(F)C=CC=C3
NCGC00017128-01,[Na+].[H][C@@]2(NC(=O)C(=N\OC)\C1=CSC(N)=N1)C(=O)N3C(C([O-])=O)=C(COC(C)=O)CS[C@]23[H]
NCGC00183046-01,C(C1CN2CCC1CC2)N3C4=CC=CC=C4SC5=C3C=CC=C5
NCGC00024665-03,CSC1=CC2=C(SC3=C(CC2N4CCN(C)CC4)C=CC=C3)C=C1
NCGC00260013-01,CC(=O)C=CC1=CC=C2OCOC2=C1
NCGC00254532-01,CCCC1=CC=CC=C1
NCGC00258747-01,COC1=C(C=C(C(C)=C1[N+]([O-])=O)[N+]([O-])=O)C(C)(C)C
NCGC00259062-01,CCOC(=O)\C=C/C(=O)OCC
NCGC00258003-01,CC(C)(O)C1=CC=CC=C1
NCGC00015036-03,NC12CC3CC(CC(C3)C1)C2
NCGC00257112-01,CC1(C)CC2=C(O1)C(O)=CC=C2
NCGC00256483-01,CC(C)C(C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1)C3=CC=C(Cl)C=C3
NCGC00259560-01,[Na+].[O-]C(=O)CCl
NCGC00163470-03,CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]2OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@]4(O)O[C@@H]([C@H](C[C@H]4C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]2C)OC
NCGC00255018-01,CNC(=O)ON=C(C)SC
NCGC00256905-01,CC(=O)OC\C=C(/C)CC\C=C(/C)CCC=C(C)C
NCGC00256138-01,CCC(CO)(COCC=C)COCC=C
NCGC00257344-01,N1C=CN=C1
NCGC00017073-01,[Na+].[Na+].[H][C@@]12C[C@](C)(CC[C@]1(C)CC[C@]3(C)C2=CC(=O)[C@]4([H])[C@@]5(C)CC[C@H](OC(=O)CCC([O-])=O)C(C)(C)[C@]5([H])CC[C@@]34C)C([O-])=O
NCGC00254076-01,NC1=CC2=C(C=CC=C2)C=C1
NCGC00253937-01,CCCCOCCOCCO
NCGC00258527-01,OC1=CC=C(C=C1)C(=O)C2=CC=C(Cl)C=C2
NCGC00013744-02,C1CCNCC1.O=C2NC=NC3=C2C(CN4CCCCC4)=CN3
NCGC00256977-01,CC(=O)OC(C)(C)C1CCC(C)=CC1
NCGC00167553-01,Cl.NCC(O)C1=CC=CC(O)=C1
NCGC00256048-01,OC(COC(=O)C=C)COC1=CC=CC=C1
NCGC00254198-01,C1OC1C2CCC3OC3C2
NCGC00254767-01,[H]\C(C(=O)OC(C)C)=C(\C)OP(=S)(NCC)OC
NCGC00256869-01,CC(C)CCOC(=O)C1=CC=CC=C1
NCGC00260099-01,CCCCCCCCCCCCCCCCC(O)=O
NCGC00258040-01,Cl.CCN1C2=CC=CC=C2C3=C1C=CC(N)=C3
NCGC00095074-01,OCCSCCO
NCGC00260122-01,CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO
NCGC00255163-01,CCCO
NCGC00256586-01,CN(N=O)C(N)=O
NCGC00257209-01,CN(C)C(=O)CC(C)=O
NCGC00160494-01,CC(CNC(=O)C1=CC=CN=C1)NC(=O)C2=CC=CN=C2
NCGC00259934-01,CC(C)(OOC(C)(C)C1=CC=CC=C1)C2=CC=CC=C2
NCGC00164554-03,[H]\C(C(=O)OCCCCCCCCC(O)=O)=C(\C)C[C@@H]1OC[C@H](C[C@]2([H])O[C@@]2([H])[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O
NCGC00258722-01,CC(C)S
NCGC00254725-01,CCCCCOC(=O)COC1=C(Cl)C=C(F)C(=C1)N2C(=O)C3=C(CCCC3)C2=O
NCGC00259310-01,CCOC(N)=O
NCGC00166306-01,CC(O)=O.N[C@H]1CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC3=CC=C(O)C=C3)NC1=O)C(=O)N4CCC[C@H]4C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(N)=O
NCGC00015216-11,CCCNC(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1
NCGC00255207-01,CCCCCCOC(=O)C1=CC=CC=C1
NCGC00258563-01,CN(C)N=NC1=C(NC=N1)C(N)=O
NCGC00254689-01,CC(C)[C@H](C(=O)O[C@H](C#N)C1=CC=CC(OC2=CC=CC=C2)=C1)C3=CC=C(Cl)C=C3
NCGC00183862-01,COC1=C(C2=C(C=C1)C(=CC=C2)C(=S)N(C)CC(O)=O)C(F)(F)F
NCGC00255533-01,C=CCSSCC=C
NCGC00016783-01,[H][C@@]12CC[C@H](C(=O)COC(C)=O)[C@@]1(C)CC(=O)[C@@]3([H])[C@@]2([H])CC[C@@]4([H])C[C@H](O)CC[C@]34C
NCGC00257275-01,CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C
NCGC00258055-01,CC(C)COC(=O)C1=CC=C(O)C=C1
NCGC00256784-01,CC1OCCC1=O
NCGC00015997-06,NCCS(O)(=O)=O
NCGC00259553-01,C1=CC2=CC=CC=C2C=C1
NCGC00258516-01,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CC=C4C[C@H](CC[C@]34C)OC(C)=O
NCGC00254912-01,COC1=CN=C(OC)N2N=C(NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)N=C12
NCGC00254313-01,OC(=O)C1=CC(=CC=C1O)\N=N\C2=CC=C(C=C2)S(=O)(=O)NC3=NC=CC=C3
NCGC00255158-01,OC1(CCCCC1)C#C
NCGC00016931-01,COC(=O)C1=C(C)NC(C)=C(C1C2=CC=CC3=NON=C23)C(=O)OC(C)C
NCGC00260276-01,BrC\C=C\CBr
NCGC00259653-01,CCC(O)OCC(C)OC(O)CC
NCGC00260319-01,CCCCCCCCCCCCCCCCCCOCCO
